observation_id,profile,policy,regime,disruption,phase_offset,deadline,trusted_recovery_success,recovery_completion_slot,contacts_consumed,cryptographic_bytes_transferred,transition_attempts,legacy_exposure_slots,control_unavailable_slots,dual_epoch_overlap_slots,rollback_invoked,stale_epoch_acceptance,terminal_state,proof_accepted_slot,commit_slot
S8-0103,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,4,12,1,7,2,14980,1,0,7,0,0,0,TRUST_RESTORED,7,7
S8-0104,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,4,24,1,7,2,14980,1,0,7,0,0,0,TRUST_RESTORED,7,7
S8-0105,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,4,48,1,7,2,14980,1,0,7,0,0,0,TRUST_RESTORED,7,7
S8-0106,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,5,12,1,6,2,14980,1,0,6,0,0,0,TRUST_RESTORED,6,6
S8-0107,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,5,24,1,6,2,14980,1,0,6,0,0,0,TRUST_RESTORED,6,6
S8-0108,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A1_DROP_FIRST_LARGEST_OBJECT_FRAGMENT,5,48,1,6,2,14980,1,0,6,0,0,0,TRUST_RESTORED,6,6
S8-0109,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,0,12,1,5,2,12560,1,0,5,0,0,0,TRUST_RESTORED,5,5
S8-0110,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,0,24,1,5,2,12560,1,0,5,0,0,0,TRUST_RESTORED,5,5
S8-0111,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,0,48,1,5,2,12560,1,0,5,0,0,0,TRUST_RESTORED,5,5
S8-0112,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,1,12,1,10,2,12560,1,0,10,0,0,0,TRUST_RESTORED,10,10
S8-0113,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,1,24,1,10,2,12560,1,0,10,0,0,0,TRUST_RESTORED,10,10
S8-0114,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,1,48,1,10,2,12560,1,0,10,0,0,0,TRUST_RESTORED,10,10
S8-0115,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,2,12,1,9,2,12560,1,0,9,0,0,0,TRUST_RESTORED,9,9
S8-0116,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,2,24,1,9,2,12560,1,0,9,0,0,0,TRUST_RESTORED,9,9
S8-0117,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,2,48,1,9,2,12560,1,0,9,0,0,0,TRUST_RESTORED,9,9
S8-0118,PROFILE_512_44,P0_HARD_CUTOVER,R2_PERIODIC_MEDIUM,A2_DELAY_FIRST_TRANSITION_PROOF_ONE_CONTACT,3,12,1,8,2,12560,1,0,8,0,0,0,TRUST_RESTORED,8,8
